Time of feeding,Milk type,Amount(ml),Amount(oz)
04/01/2022 8:00:00 AM,Formula,70.0,2.367
04/01/2022 5:02:00 AM,Formula,80.0,2.7051
04/01/2022 2:08:00 AM,Formula,100.0,3.3814
03/31/2022 10:41:00 PM,Formula,50.0,1.6907
03/31/2022 8:10:00 PM,Formula,35.0,1.1835
03/31/2022 7:20:00 PM,Formula,60.0,2.0288
03/31/2022 5:04:00 PM,Formula,90.0,3.0433
03/31/2022 2:25:00 PM,Formula,70.0,2.367
03/31/2022 11:26:00 AM,Formula,55.0,1.8598
03/31/2022 9:58:00 AM,Formula,65.0,2.1979
03/31/2022 7:40:00 AM,Formula,65.0,2.1979
03/31/2022 5:31:00 AM,Formula,70.0,2.367
03/31/2022 2:46:00 AM,Formula,70.0,2.367
03/30/2022 11:56:00 PM,Formula,65.0,2.1979
03/30/2022 8:56:00 PM,Formula,55.0,1.8598
03/30/2022 8:02:00 PM,Formula,50.0,1.6907
03/30/2022 6:55:00 PM,Formula,25.0,0.8453
03/30/2022 5:30:00 PM,Formula,70.0,2.367
03/30/2022 3:00:00 PM,Formula,70.0,2.367
03/30/2022 12:51:00 PM,Formula,40.0,1.3526
03/30/2022 11:30:00 AM,Formula,45.0,1.5216
03/30/2022 9:57:00 AM,Formula,65.0,2.1979
03/30/2022 7:30:00 AM,Formula,55.0,1.8598
03/30/2022 4:55:00 AM,Formula,50.0,1.6907
03/30/2022 2:36:00 AM,Formula,100.0,3.3814
03/29/2022 11:31:00 PM,Formula,80.0,2.7051
03/29/2022 8:28:00 PM,Formula,90.0,3.0433
03/29/2022 5:10:00 PM,Formula,85.0,2.8742
03/29/2022 2:32:00 PM,Formula,95.0,3.2123
03/29/2022 11:30:00 AM,Formula,90.0,3.0433
03/29/2022 8:26:00 AM,Formula,70.0,2.367
03/29/2022 5:50:00 AM,Formula,60.0,2.0288
03/29/2022 2:39:00 AM,Formula,100.0,3.3814
03/28/2022 11:32:00 PM,Formula,70.0,2.367
03/28/2022 7:58:00 PM,Formula,50.0,1.6907
03/28/2022 7:28:00 PM,Formula,35.0,1.1835
03/28/2022 6:50:00 PM,Formula,30.0,1.0144
03/28/2022 5:09:00 PM,Formula,70.0,2.367
03/28/2022 2:17:00 PM,Formula,90.0,3.0433
03/28/2022 11:20:00 AM,Formula,95.0,3.2123
03/28/2022 8:34:00 AM,Formula,65.0,2.1979
03/28/2022 6:34:00 AM,Formula,65.0,2.1979
03/28/2022 4:02:00 AM,Formula,70.0,2.367
03/28/2022 1:16:00 AM,Formula,50.0,1.6907
03/27/2022 11:58:00 PM,Formula,60.0,2.0288
03/27/2022 8:30:00 PM,Formula,85.0,2.8742
03/27/2022 6:25:00 PM,Formula,15.0,0.5072
03/27/2022 5:40:00 PM,Formula,35.0,1.1835
03/27/2022 4:20:00 PM,Formula,60.0,2.0288
03/27/2022 2:33:00 PM,Formula,65.0,2.1979
03/27/2022 12:03:00 PM,Formula,90.0,3.0433
03/27/2022 9:36:00 AM,Formula,55.0,1.8598
03/27/2022 8:17:00 AM,Formula,40.0,1.3526
03/27/2022 6:53:00 AM,Formula,20.0,0.6763
03/27/2022 5:23:00 AM,Formula,70.0,2.367
03/27/2022 1:59:00 AM,Formula,70.0,2.367
03/26/2022 11:46:00 PM,Formula,70.0,2.367
03/26/2022 8:10:00 PM,Formula,50.0,1.6907
03/26/2022 7:00:00 PM,Formula,80.0,2.7051
