Time of feeding,Milk type,Amount(ml),Amount(oz)
01/06/2020 4:15:16 PM,Breast milk,90.0,3.0433
01/06/2020 8:04:04 AM,Breast milk,120.0,4.0577
01/05/2020 7:40:34 PM,Breast milk,150.0,5.0721
01/05/2020 4:20:57 PM,Breast milk,90.0,3.0433
01/05/2020 12:55:50 PM,Breast milk,95.0,3.2123
01/05/2020 10:15:25 AM,Breast milk,95.0,3.2123
01/05/2020 7:57:29 AM,Breast milk,105.0,3.5505
01/04/2020 7:45:30 PM,Breast milk,175.0,5.9174
01/04/2020 4:30:25 PM,Breast milk,110.0,3.7195
01/04/2020 12:50:27 PM,Breast milk,65.0,2.1979
01/04/2020 10:45:49 AM,Breast milk,85.0,2.8742
01/04/2020 7:17:34 AM,Breast milk,105.0,3.5505
01/03/2020 7:48:35 PM,Breast milk,105.0,3.5505
01/03/2020 4:55:54 PM,Breast milk,90.0,3.0433
01/03/2020 12:46:00 PM,Breast milk,75.0,2.536
01/03/2020 9:53:35 AM,Breast milk,75.0,2.536
01/03/2020 7:32:45 AM,Breast milk,120.0,4.0577
01/02/2020 7:40:37 PM,Breast milk,90.0,3.0433
01/02/2020 7:08:58 PM,Breast milk,95.0,3.2123
01/02/2020 4:30:54 PM,Breast milk,90.0,3.0433
01/02/2020 3:15:51 PM,Breast milk,30.0,1.0144
01/02/2020 12:05:06 PM,Breast milk,60.0,2.0288
01/02/2020 9:30:22 AM,Breast milk,60.0,2.0288
01/02/2020 7:26:54 AM,Breast milk,120.0,4.0577
01/01/2020 7:45:19 PM,Breast milk,125.0,4.2268
01/01/2020 3:55:07 PM,Breast milk,50.0,1.6907
01/01/2020 12:50:27 PM,Breast milk,70.0,2.367
01/01/2020 9:55:13 AM,Breast milk,60.0,2.0288
01/01/2020 7:25:24 AM,Breast milk,120.0,4.0577
12/31/2019 7:45:45 PM,Breast milk,120.0,4.0577
12/31/2019 4:20:37 PM,Breast milk,90.0,3.0433
12/31/2019 12:48:46 PM,Breast milk,60.0,2.0288
12/31/2019 10:15:35 AM,Breast milk,90.0,3.0433
12/31/2019 7:30:03 AM,Breast milk,120.0,4.0577
12/30/2019 7:48:43 PM,Breast milk,110.0,3.7195
12/30/2019 4:45:01 PM,Breast milk,85.0,2.8742
12/30/2019 12:50:38 PM,Breast milk,90.0,3.0433
12/30/2019 10:00:47 AM,Breast milk,95.0,3.2123
12/30/2019 7:40:41 AM,Breast milk,115.0,3.8886
12/29/2019 7:40:18 PM,Breast milk,90.0,3.0433
12/29/2019 6:15:46 PM,Breast milk,120.0,4.0577
12/29/2019 12:44:43 PM,Breast milk,60.0,2.0288
12/29/2019 9:50:38 AM,Breast milk,80.0,2.7051
12/29/2019 7:34:38 AM,Breast milk,120.0,4.0577
12/28/2019 7:40:53 PM,Breast milk,125.0,4.2268
12/28/2019 3:45:32 PM,Breast milk,110.0,3.7195
12/28/2019 10:15:03 AM,Breast milk,80.0,2.7051
12/28/2019 7:27:51 AM,Breast milk,120.0,4.0577
12/27/2019 7:45:01 PM,Breast milk,135.0,4.5649
12/27/2019 4:36:34 PM,Breast milk,80.0,2.7051
12/27/2019 12:47:01 PM,Breast milk,80.0,2.7051
12/27/2019 10:25:04 AM,Breast milk,80.0,2.7051
12/27/2019 7:40:24 AM,Breast milk,120.0,4.0577
12/26/2019 7:00:53 PM,Breast milk,140.0,4.734
12/26/2019 4:45:49 PM,Breast milk,40.0,1.3526
12/26/2019 12:43:21 PM,Breast milk,40.0,1.3526
12/26/2019 10:52:57 AM,Breast milk,50.0,1.6907
12/26/2019 7:47:18 AM,Breast milk,110.0,3.7195
12/25/2019 7:46:29 PM,Breast milk,60.0,2.0288
12/25/2019 7:05:43 PM,Breast milk,120.0,4.0577
12/25/2019 3:20:51 PM,Breast milk,105.0,3.5505
12/25/2019 10:45:50 AM,Breast milk,110.0,3.7195
12/25/2019 7:37:13 AM,Breast milk,85.0,2.8742
12/24/2019 7:20:03 PM,Breast milk,90.0,3.0433
12/24/2019 5:55:58 PM,Breast milk,90.0,3.0433
12/24/2019 2:55:57 PM,Breast milk,80.0,2.7051
12/24/2019 10:20:10 AM,Breast milk,95.0,3.2123
12/24/2019 7:32:18 AM,Breast milk,120.0,4.0577
12/23/2019 7:50:11 PM,Breast milk,130.0,4.3958
12/23/2019 3:40:39 PM,Breast milk,90.0,3.0433
12/23/2019 9:55:25 AM,Breast milk,90.0,3.0433
12/23/2019 7:08:49 AM,Breast milk,70.0,2.367
12/22/2019 7:02:49 PM,Breast milk,120.0,4.0577
12/22/2019 4:40:15 PM,Breast milk,100.0,3.3814
12/22/2019 12:53:31 PM,Breast milk,35.0,1.1835
12/22/2019 10:18:29 AM,Breast milk,100.0,3.3814
12/22/2019 6:54:33 AM,Breast milk,95.0,3.2123
12/21/2019 7:45:00 PM,Breast milk,90.0,3.0433
12/21/2019 4:37:08 PM,Breast milk,60.0,2.0288
12/21/2019 12:48:59 PM,Breast milk,55.0,1.8598
12/21/2019 7:27:25 AM,Breast milk,70.0,2.367
12/20/2019 10:24:24 PM,Breast milk,40.0,1.3526
12/20/2019 7:37:06 PM,Breast milk,80.0,2.7051
12/20/2019 1:08:11 PM,Breast milk,40.0,1.3526
12/20/2019 8:45:42 AM,Breast milk,70.0,2.367
12/20/2019 7:22:27 AM,Breast milk,50.0,1.6907
12/19/2019 7:40:00 PM,Breast milk,145.0,4.903
12/19/2019 4:26:36 PM,Breast milk,80.0,2.7051
12/19/2019 12:25:00 PM,Breast milk,60.0,2.0288
12/19/2019 10:00:00 AM,Breast milk,30.0,1.0144
12/19/2019 7:25:55 AM,Breast milk,105.0,3.5505
12/18/2019 7:50:15 PM,Breast milk,110.0,3.7195
12/18/2019 4:20:21 PM,Breast milk,120.0,4.0577
12/18/2019 3:15:42 PM,Breast milk,20.0,0.6763
12/18/2019 12:20:15 PM,Breast milk,60.0,2.0288
12/18/2019 9:40:30 AM,Breast milk,30.0,1.0144
12/18/2019 7:02:41 AM,Breast milk,100.0,3.3814
12/17/2019 7:40:12 PM,Breast milk,90.0,3.0433
12/17/2019 4:20:05 PM,Breast milk,90.0,3.0433
12/17/2019 12:40:05 PM,Breast milk,30.0,1.0144
12/17/2019 9:40:26 AM,Breast milk,45.0,1.5216
12/17/2019 7:12:19 AM,Breast milk,90.0,3.0433
12/16/2019 7:51:19 PM,Breast milk,95.0,3.2123
12/16/2019 6:20:37 PM,Breast milk,30.0,1.0144
12/16/2019 4:25:38 PM,Breast milk,115.0,3.8886
12/16/2019 10:00:00 AM,Breast milk,60.0,2.0288
12/16/2019 7:14:04 AM,Breast milk,90.0,3.0433
12/15/2019 7:48:02 PM,Breast milk,80.0,2.7051
12/15/2019 7:20:51 PM,Breast milk,30.0,1.0144
12/15/2019 5:37:30 PM,Breast milk,55.0,1.8598
12/15/2019 4:08:57 PM,Formula,45.0,1.5216
12/15/2019 11:05:24 AM,Breast milk,55.0,1.8598
12/15/2019 9:50:12 AM,Formula,45.0,1.5216
12/15/2019 7:20:28 AM,Breast milk,40.0,1.3526
12/14/2019 10:32:24 PM,Breast milk,70.0,2.367
12/14/2019 8:03:19 PM,Breast milk,95.0,3.2123
12/14/2019 4:45:19 PM,Breast milk,70.0,2.367
