Time of feeding,Ingredients,Amount,Unit type,Baby's reaction
01/15/2020 12:05:53 PM,Oatmeal,76,g,Like it!
01/15/2020 6:03:37 PM,Yogurt,68,g,Like it!
01/15/2020 12:15:13 PM,Fruit smoothies,110,g,Like it!
01/15/2020 9:30:47 AM,Applesauce,88,g,Like it!
01/15/2020 9:37:01 AM,Oatmeal,76,g,Like it!
01/15/2020 12:30:58 PM,Nuts,5,g,Like it!
01/15/2020 7:53:05 PM,Fruit smoothies,44,g,Like it!
01/15/2020 9:45:18 AM,Fruit smoothies,110,g,Like it!
01/15/2020 3:10:13 PM,Oatmeal,76,g,Like it!
01/14/2020 9:40:03 AM,Fruit smoothies,110,g,Like it!
01/14/2020 3:10:43 PM,Oatmeal,65,g,Like it!
01/14/2020 7:50:24 PM,Fruit smoothies,68,g,Like it!
01/14/2020 3:25:58 PM,Yogurt,156,g,Like it!
01/14/2020 12:10:36 PM,Oatmeal,65,g,Like it!
01/14/2020 12:30:48 PM,Fruit smoothies,110,g,Like it!
01/14/2020 5:42:06 PM,Fruit smoothies,73,g,Like it!
01/14/2020 9:30:34 AM,Oatmeal,65,g,Like it!
01/14/2020 12:50:24 PM,Nuts,8,g,Like it!
01/13/2020 12:40:06 PM,Nuts,17,g,Like it!
01/13/2020 3:05:54 PM,Oatmeal,76,g,Like it!
01/13/2020 5:44:46 PM,Fruit smoothies,50,g,Like it!
01/13/2020 12:05:13 PM,Oatmeal,76,g,Like it!
01/13/2020 3:25:08 PM,Yogurt,73,g,Like it!
01/13/2020 7:47:53 PM,Fruit smoothies,41,g,Like it!
01/13/2020 12:15:27 PM,Fruit smoothies,110,g,Like it!
01/13/2020 9:30:29 AM,Oatmeal,76,g,Like it!
01/13/2020 9:40:44 AM,Fruit smoothies,110,g,Like it!
01/12/2020 9:50:15 AM,Oatmeal,29,g,Like it!
01/12/2020 10:12:26 AM,Fruit smoothies,10,g,Hate it!
01/12/2020 6:50:39 PM,Fruit smoothies,54,g,Like it!
01/12/2020 12:50:41 PM,Nuts,5,g,Like it!
01/12/2020 10:38:33 AM,Fruit smoothies,110,g,Like it!
01/12/2020 4:13:16 PM,Yogurt,103,g,Like it!
01/11/2020 5:20:46 PM,Fruit smoothies,110,g,Love it!
01/11/2020 9:25:37 AM,Oatmeal,76,g,Like it!
01/11/2020 6:37:34 PM,Yogurt,14,g,Hate it!
01/11/2020 11:46:40 AM,Fruit smoothies,84,g,Like it!
01/11/2020 9:40:18 AM,Fruit smoothies,32,g,Like it!
01/11/2020 7:47:20 PM,Fruit smoothies,56,g,Like it!
01/10/2020 10:47:15 AM,Fruit smoothies,17,g,Hate it!
01/10/2020 9:50:21 AM,Fruit smoothies,20,g,Like it!
01/10/2020 3:25:40 PM,Fruit smoothies,88,g,Like it!
01/10/2020 7:50:50 PM,Fruit smoothies,47,g,Like it!
01/10/2020 9:40:10 AM,Oatmeal,50,g,Like it!
01/10/2020 4:49:47 PM,Oatmeal,88,g,Like it!
01/10/2020 11:55:42 AM,Fruit smoothies,109,g,Like it!
01/10/2020 3:40:03 PM,Yogurt,35,g,Like it!
01/09/2020 9:40:55 AM,Fruit smoothies,110,g,Like it!
01/09/2020 3:15:49 PM,Oatmeal,76,g,Like it!
01/09/2020 7:55:46 PM,Fruit smoothies,102,g,Like it!
01/09/2020 3:25:01 PM,Yogurt,156,g,Like it!
01/09/2020 12:05:26 PM,Oatmeal,76,g,Like it!
01/09/2020 12:15:44 PM,Fruit smoothies,110,g,Like it!
01/09/2020 12:40:11 PM,Nuts,5,g,Like it!
01/09/2020 6:50:31 PM,Fruit smoothies,26,g,Like it!
01/09/2020 9:30:39 AM,Oatmeal,76,g,Like it!
01/08/2020 3:20:27 PM,Yogurt,14,g,Hate it!
01/08/2020 9:40:44 AM,Fruit smoothies,110,g,Like it!
01/08/2020 7:17:45 PM,Fruit smoothies,59,g,Like it!
01/08/2020 12:05:13 PM,Oatmeal,76,g,Like it!
01/08/2020 12:15:30 PM,Fruit smoothies,110,g,Like it!
01/08/2020 7:55:12 PM,Oatmeal,44,g,Like it!
01/08/2020 12:25:46 PM,Nuts,11,g,Like it!
01/08/2020 3:05:12 PM,Oatmeal,59,g,Like it!
01/08/2020 5:45:42 PM,Oatmeal,11,g,Hate it!
01/08/2020 9:30:28 AM,Oatmeal,76,g,Like it!
01/07/2020 3:05:40 PM,Oatmeal,76,g,Like it!
01/07/2020 6:05:47 PM,Fruit smoothies,112,g,Like it!
01/07/2020 3:25:55 PM,Yogurt,122,g,Like it!
01/07/2020 7:20:01 PM,Fruit smoothies,41,g,Like it!
01/07/2020 12:05:31 PM,Oatmeal,76,g,Like it!
01/07/2020 9:30:26 AM,Oatmeal,76,g,Like it!
01/07/2020 12:40:19 PM,Fruit smoothies,76,g,Like it!
01/07/2020 9:40:41 AM,Fruit smoothies,110,g,Like it!
01/06/2020 8:00:40 PM,Fruit smoothies,19,g,Hate it!
01/06/2020 3:10:04 PM,Oatmeal,76,g,Like it!
01/06/2020 7:01:24 PM,Yogurt,23,g,Hate it!
01/06/2020 9:50:34 AM,Oatmeal,76,g,Like it!
01/06/2020 3:30:18 PM,Yogurt,14,g,Like it!
01/06/2020 12:05:56 PM,Oatmeal,76,g,Like it!
01/06/2020 12:15:11 PM,Nuts,5,g,Like it!
01/06/2020 8:30:32 AM,Nuts,5,g,Like it!
01/06/2020 9:30:51 AM,Fruit smoothies,110,g,Like it!
01/06/2020 12:30:29 PM,Fruit smoothies,110,g,Like it!
01/05/2020 6:45:21 PM,Fruit smoothies,112,g,Like it!
01/05/2020 3:50:34 PM,Yogurt,56,g,Like it!
01/05/2020 10:00:26 AM,Fruit smoothies,82,g,Like it!
01/05/2020 12:00:55 PM,Fruit smoothies,57,g,Like it!
01/05/2020 12:25:00 PM,Oatmeal,53,g,Like it!
01/04/2020 7:26:16 AM,Fruit smoothies,17,g,Like it!
01/04/2020 12:28:36 PM,Oatmeal,17,g,Like it!
01/04/2020 12:40:49 PM,Fruit smoothies,23,g,Like it!
01/04/2020 7:53:49 PM,Fruit smoothies,38,g,Like it!
01/04/2020 3:59:33 PM,Yogurt,42,g,Like it!
01/04/2020 8:02:36 PM,Nuts,5,g,Like it!
01/04/2020 4:38:25 PM,Fruit smoothies,32,g,Like it!
01/04/2020 4:11:28 PM,Oatmeal,29,g,Like it!
01/04/2020 10:20:54 AM,Fruit smoothies,56,g,Like it!
01/04/2020 10:11:32 AM,Fruit smoothies,93,g,Like it!
01/03/2020 8:40:44 AM,Oatmeal,75,g,Like it!
01/03/2020 10:02:17 AM,Fruit smoothies,41,g,Like it!
01/03/2020 3:17:27 PM,Oatmeal,35,g,Like it!
01/03/2020 5:58:48 PM,Fruit smoothies,5,g,Like it!
01/03/2020 12:05:16 PM,Fruit smoothies,99,g,Like it!
01/03/2020 7:56:24 PM,Fruit smoothies,31,g,Like it!
01/03/2020 4:40:56 PM,Fruit smoothies,97,g,Like it!
01/03/2020 9:20:29 AM,Fruit smoothies,28,g,Like it!
01/03/2020 7:15:30 PM,Oatmeal,85,g,Like it!
01/02/2020 3:30:16 PM,Yogurt,59,g,Like it!
01/02/2020 9:50:46 AM,Fruit smoothies,68,g,Like it!
01/02/2020 3:40:49 PM,Oatmeal,73,g,Like it!
01/02/2020 8:45:22 AM,Oatmeal,73,g,Like it!
01/02/2020 12:25:17 PM,Oatmeal,35,g,Like it!
01/02/2020 12:40:33 PM,Fruit smoothies,109,g,Like it!
01/02/2020 5:35:44 PM,Fruit smoothies,88,g,Like it!
01/02/2020 3:05:04 PM,Nuts,5,g,Like it!
01/02/2020 9:40:33 AM,Oatmeal,73,g,Like it!
01/01/2020 8:54:56 AM,Fruit smoothies,112,g,Like it!
01/01/2020 6:12:44 PM,Fruit smoothies,109,g,Like it!
01/01/2020 7:52:26 PM,Fruit smoothies,100,g,Like it!
01/01/2020 10:58:11 AM,Yogurt,88,g,Like it!
01/01/2020 8:45:55 AM,Oatmeal,91,g,Like it!
01/01/2020 3:16:33 PM,Oatmeal,88,g,Like it!
01/01/2020 12:37:59 PM,Fruit smoothies,109,g,Like it!
12/31/2019 7:38:09 AM,Fruit smoothies,32,g,Like it!
12/31/2019 6:40:11 PM,Fruit smoothies,109,g,Like it!
12/31/2019 7:53:52 PM,Fruit smoothies,103,g,Like it!
12/31/2019 12:25:53 PM,Oatmeal,76,g,Like it!
12/31/2019 9:15:09 AM,Oatmeal,76,g,Love it!
12/31/2019 4:15:36 PM,Yogurt,65,g,Like it!
12/31/2019 9:20:38 AM,Fruit smoothies,47,g,Like it!
12/31/2019 12:34:46 PM,Fruit smoothies,60,g,Like it!
12/31/2019 4:11:15 PM,Fruit smoothies,88,g,Hate it!
12/30/2019 4:05:56 PM,Yogurt,82,g,Like it!
12/30/2019 11:58:58 AM,Fruit smoothies,47,g,Like it!
12/30/2019 7:56:50 PM,Fruit smoothies,38,g,Like it!
12/30/2019 9:25:01 AM,Oatmeal,85,g,Like it!
12/30/2019 4:22:33 PM,Fruit smoothies,47,g,Like it!
12/30/2019 12:40:41 PM,Oatmeal,73,g,Like it!
12/30/2019 9:36:12 AM,Fruit smoothies,59,g,Like it!
12/30/2019 7:50:58 AM,Fruit smoothies,32,g,Like it!
12/30/2019 6:00:20 PM,Fruit smoothies,103,g,Like it!
12/29/2019 3:30:55 PM,Oatmeal,73,g,Like it!
12/29/2019 12:20:07 PM,Yogurt,68,g,Like it!
12/29/2019 8:50:08 AM,Oatmeal,23,g,Like it!
12/29/2019 9:05:22 AM,Fruit smoothies,41,g,Like it!
12/29/2019 9:30:34 AM,Fruit smoothies,51,g,Like it!
12/29/2019 7:48:35 PM,Fruit smoothies,50,g,Like it!
12/29/2019 3:43:55 PM,Fruit smoothies,63,g,Like it!
12/29/2019 10:50:04 AM,Fruit smoothies,17,g,Like it!
12/29/2019 12:32:48 PM,Fruit smoothies,23,g,Like it!
12/29/2019 10:45:18 AM,Oatmeal,56,g,Like it!
12/29/2019 5:30:36 PM,Fruit smoothies,110,g,Like it!
12/28/2019 7:54:00 PM,Fruit smoothies,91,g,Like it!
12/28/2019 9:15:20 AM,Fruit smoothies,91,g,Like it!
12/28/2019 11:46:56 AM,Yogurt,88,g,Like it!
12/28/2019 6:01:28 PM,Fruit smoothies,45,g,Like it!
12/28/2019 8:55:44 AM,Oatmeal,79,g,Like it!
12/28/2019 5:56:43 PM,Oatmeal,82,g,Like it!
12/28/2019 1:00:14 PM,Fruit smoothies,112,g,Like it!
12/27/2019 6:48:16 PM,Fruit smoothies,122,g,Like it!
12/27/2019 12:15:50 PM,Oatmeal,39,g,Like it!
12/27/2019 8:52:20 AM,Oatmeal,79,g,Like it!
12/27/2019 4:10:10 PM,Fruit smoothies,82,g,Like it!
12/27/2019 12:05:10 PM,Fruit smoothies,59,g,Like it!
12/27/2019 3:40:47 PM,Yogurt,50,g,Like it!
12/27/2019 9:38:58 AM,Fruit smoothies,75,g,Like it!
12/26/2019 7:47:50 PM,Fruit smoothies,76,g,Like it!
12/26/2019 5:45:30 PM,Yogurt,17,g,Like it!
12/26/2019 12:15:16 PM,Oatmeal,82,g,Like it!
12/26/2019 7:41:22 PM,Oatmeal,41,g,Like it!
12/26/2019 3:18:47 PM,Yogurt,73,g,Like it!
12/26/2019 10:05:06 AM,Fruit smoothies,131,g,Like it!
12/26/2019 3:28:16 PM,Fruit smoothies,68,g,Like it!
12/26/2019 5:23:04 PM,Fruit smoothies,56,g,Like it!
12/26/2019 9:15:33 AM,Oatmeal,81,g,Like it!
12/25/2019 4:38:08 PM,Fruit smoothies,39,g,Like it!
12/25/2019 9:03:01 AM,Oatmeal,65,g,Like it!
12/25/2019 8:55:10 AM,Nuts,5,g,Like it!
12/25/2019 9:09:51 AM,Fruit smoothies,100,g,Like it!
12/25/2019 12:35:19 PM,Oatmeal,66,g,Like it!
12/25/2019 7:52:34 PM,Fruit smoothies,66,g,Like it!
12/25/2019 5:34:35 PM,Fruit smoothies,47,g,Like it!
12/25/2019 12:43:32 PM,Fruit smoothies,81,g,Like it!
12/25/2019 5:25:35 PM,Yogurt,35,g,Like it!
12/24/2019 7:27:59 PM,Fruit smoothies,82,g,Like it!
12/24/2019 10:35:33 AM,Fruit smoothies,59,g,Like it!
12/24/2019 12:14:08 PM,Oatmeal,82,g,Like it!
12/24/2019 4:10:53 PM,Fruit smoothies,96,g,Like it!
12/24/2019 12:19:18 PM,Fruit smoothies,68,g,Like it!
12/24/2019 8:48:27 AM,Oatmeal,79,g,Like it!
12/24/2019 5:22:38 PM,Yogurt,73,g,Like it!
12/23/2019 4:50:17 PM,Fruit smoothies,72,g,Like it!
12/23/2019 8:18:19 AM,Oatmeal,56,g,Like it!
12/23/2019 12:36:14 PM,Oatmeal,73,g,Like it!
12/23/2019 10:30:29 AM,Fruit smoothies,29,g,Like it!
12/23/2019 9:23:35 AM,Fruit smoothies,76,g,Like it!
12/23/2019 6:14:21 PM,Nuts,5,g,Like it!
12/23/2019 4:05:57 PM,Fruit smoothies,41,g,Like it!
12/23/2019 10:37:12 AM,Oatmeal,47,g,Like it!
12/23/2019 6:20:34 PM,Yogurt,50,g,Like it!
12/22/2019 11:15:12 AM,Fruit smoothies,88,g,Like it!
12/22/2019 4:04:21 PM,Yogurt,11,g,Hate it!
12/22/2019 9:40:07 AM,Fruit smoothies,47,g,Like it!
12/22/2019 5:57:58 PM,Fruit smoothies,19,g,Like it!
12/22/2019 5:24:51 PM,Fruit smoothies,54,g,Love it!
12/22/2019 4:10:45 PM,Nuts,11,g,Like it!
12/22/2019 12:49:38 PM,Fruit smoothies,36,g,Like it!
12/22/2019 7:10:33 PM,Fruit smoothies,87,g,Like it!
12/22/2019 3:52:36 PM,Oatmeal,66,g,Like it!
12/22/2019 12:39:07 PM,Oatmeal,38,g,Like it!
12/22/2019 8:30:14 AM,Oatmeal,23,g,Like it!
12/22/2019 9:35:45 AM,Oatmeal,50,g,Like it!
12/22/2019 8:45:37 AM,Fruit smoothies,41,g,Like it!
12/21/2019 12:01:17 PM,Fruit smoothies,48,g,Like it!
12/21/2019 9:05:42 AM,Oatmeal,14,g,Like it!
12/21/2019 7:55:43 PM,"Apricots,Sweet potatoes,Bananas",69,g,Like it!
12/21/2019 5:20:09 PM,Fruit smoothies,59,g,Like it!
12/21/2019 6:25:36 PM,Applesauce,88,g,Love it!
12/21/2019 5:25:33 PM,Yogurt,11,g,Like it!
12/21/2019 4:15:51 PM,Yogurt,5,g,Hate it!
12/21/2019 9:28:11 AM,Oatmeal,70,g,Like it!
12/21/2019 12:29:43 PM,Oatmeal,73,g,Like it!
12/21/2019 5:33:32 PM,Oatmeal,38,g,Like it!
12/21/2019 9:45:53 AM,Fruit smoothies,69,g,Like it!
12/20/2019 9:17:06 AM,Fruit smoothies,68,g,Like it!
12/20/2019 3:40:19 PM,Rice cereal,23,g,Like it!
12/20/2019 3:53:32 PM,Fruit smoothies,26,g,Like it!
12/20/2019 12:50:06 PM,Rice cereal,53,g,Like it!
12/20/2019 6:15:17 PM,Fruit smoothies,57,g,Like it!
12/20/2019 12:55:19 PM,Fruit smoothies,41,g,Like it!
12/20/2019 10:30:16 AM,Rice cereal,79,g,Love it!
12/20/2019 6:20:48 PM,Fruit smoothies,17,g,Hate it!
12/20/2019 10:40:45 AM,Fruit smoothies,41,g,Like it!
12/20/2019 7:45:54 PM,Fruit smoothies,23,g,Like it!
12/20/2019 5:04:41 PM,Yogurt,35,g,Like it!
12/19/2019 9:45:18 AM,Nuts,2,g,Like it!
12/19/2019 5:27:27 PM,Fruit smoothies,50,g,Like it!
12/19/2019 9:50:34 AM,Fruit smoothies,103,g,Like it!
12/19/2019 5:34:13 PM,Yogurt,11,g,Hate it!
12/19/2019 12:00:11 PM,Oatmeal,82,g,Like it!
12/19/2019 3:08:58 PM,Oatmeal,44,g,Like it!
12/19/2019 12:10:27 PM,Fruit smoothies,59,g,Like it!
12/19/2019 9:35:14 AM,Oatmeal,82,g,Like it!
12/19/2019 3:20:20 PM,Yogurt,59,g,Like it!
12/19/2019 7:00:46 PM,Yogurt,17,g,Like it!
12/19/2019 7:06:57 PM,Fruit smoothies,47,g,Like it!
12/18/2019 12:40:23 PM,Fruit smoothies,110,g,Like it!
12/18/2019 3:30:51 PM,Yogurt,147,g,Like it!
12/18/2019 6:45:00 PM,"Pears,Peas,Broccoli",59,g,Like it!
12/18/2019 9:30:08 AM,Oatmeal,73,g,Like it!
12/18/2019 8:02:08 PM,"Pears,Peas,Broccoli",47,g,Like it!
12/18/2019 9:50:37 AM,Fruit smoothies,110,g,Like it!
12/18/2019 12:05:53 PM,Oatmeal,73,g,Like it!
12/17/2019 9:50:36 AM,Fruit smoothies,110,g,Like it!
12/17/2019 3:05:24 PM,Yogurt,118,g,Like it!
12/17/2019 12:00:51 PM,Oatmeal,68,g,Like it!
12/17/2019 12:15:23 PM,Fruit smoothies,110,g,Like it!
12/17/2019 6:02:58 PM,Fruit smoothies,106,g,Love it!
12/17/2019 12:25:49 PM,Nuts,5,g,Like it!
12/17/2019 9:30:07 AM,Oatmeal,68,g,Like it!
12/16/2019 3:35:48 PM,Yogurt,38,g,Like it!
12/16/2019 3:15:35 PM,Oatmeal,2,g,Hate it!
12/16/2019 9:30:31 AM,Oatmeal,76,g,Like it!
12/16/2019 8:20:47 AM,Yogurt,26,g,Like it!
12/16/2019 9:40:44 AM,Fruit smoothies,110,g,Like it!
12/16/2019 12:10:19 PM,Nuts,5,g,Like it!
12/16/2019 12:20:48 PM,Oatmeal,38,g,Like it!
12/16/2019 4:48:14 PM,Fruit smoothies,85,g,Like it!
12/16/2019 8:01:34 AM,Oatmeal,35,g,Like it!
12/16/2019 12:35:06 PM,"Chicken,Other",5,g,Hate it!
12/15/2019 9:19:58 AM,Oatmeal,65,g,Love it!
12/15/2019 6:50:11 PM,Yogurt,39,g,Like it!
12/15/2019 9:24:58 AM,Fruit smoothies,68,g,Like it!
12/15/2019 12:15:25 PM,Fruit smoothies,14,g,Like it!
12/15/2019 12:28:42 PM,Yogurt,54,g,Like it!
12/15/2019 12:21:35 PM,Rice cereal,8,g,Hate it!
12/15/2019 4:36:37 PM,Yogurt,39,g,Like it!
12/15/2019 4:50:24 PM,Fruit smoothies,94,g,Like it!
12/14/2019 4:30:48 PM,Fruit smoothies,44,g,Like it!
12/14/2019 10:02:43 AM,Oatmeal,50,g,Like it!
12/14/2019 9:15:27 AM,Wheat cereal,2,g,Hate it!
12/14/2019 10:13:55 AM,Fruit smoothies,23,g,Like it!
12/14/2019 7:51:40 PM,Fruit smoothies,50,g,Love it!
12/14/2019 8:04:26 AM,Nuts,5,g,Love it!
12/14/2019 12:12:27 PM,Yogurt,47,g,Like it!
12/14/2019 8:17:20 AM,Yogurt,8,g,Like it!
12/14/2019 9:21:44 AM,Fruit smoothies,19,g,Like it!
12/14/2019 7:58:09 PM,Oatmeal,53,g,Like it!
12/14/2019 6:28:50 PM,Fruit smoothies,59,g,Love it!
12/13/2019 9:00:00 AM,Oatmeal,44,g,Like it!
12/13/2019 11:33:41 AM,Fruit smoothies,59,g,Love it!
12/13/2019 12:42:11 PM,Oatmeal,20,g,Hate it!
12/13/2019 9:05:11 AM,Fruit smoothies,23,g,Like it!
12/13/2019 9:50:34 AM,Fruit smoothies,76,g,Love it!
12/13/2019 8:12:02 AM,Oatmeal,20,g,Like it!
12/13/2019 5:00:25 PM,Fruit smoothies,53,g,Like it!
12/13/2019 12:24:20 PM,Nuts,5,g,Like it!
12/13/2019 6:35:19 PM,Yogurt,68,g,Like it!
12/12/2019 3:15:31 PM,Nuts,17,g,Like it!
12/12/2019 6:40:48 PM,Fruit smoothies,47,g,Love it!
12/12/2019 12:05:22 PM,Oatmeal,73,g,Like it!
12/12/2019 6:12:18 PM,Oatmeal,59,g,Like it!
12/12/2019 3:25:03 PM,Yogurt,73,g,Like it!
12/12/2019 12:40:09 PM,Fruit smoothies,110,g,Like it!
12/12/2019 9:30:40 AM,Oatmeal,73,g,Like it!
12/12/2019 9:40:57 AM,Fruit smoothies,110,g,Like it!
12/12/2019 8:10:45 AM,Oatmeal,39,g,Like it!
12/12/2019 3:05:16 PM,Oatmeal,73,g,Like it!
12/12/2019 7:57:15 PM,Fruit smoothies,41,g,Like it!
12/12/2019 5:10:32 PM,Yogurt,62,g,Like it!
12/11/2019 5:54:49 PM,Fruit smoothies,32,g,Like it!
12/11/2019 3:05:46 PM,Oatmeal,73,g,Like it!
12/11/2019 3:15:58 PM,Yogurt,2,g,Hate it!
12/11/2019 12:05:33 PM,Oatmeal,73,g,Like it!
12/11/2019 12:25:08 PM,Fruit smoothies,110,g,Like it!
12/11/2019 4:20:04 PM,Nuts,11,g,Love it!
12/11/2019 9:30:19 AM,Oatmeal,73,g,Like it!
12/11/2019 12:40:22 PM,Nuts,5,g,Like it!
12/11/2019 7:54:13 PM,Fruit smoothies,62,g,Love it!
12/11/2019 9:40:06 AM,Fruit smoothies,110,g,Like it!
12/10/2019 7:53:18 PM,"Pears,Mango,Spinach",50,g,Love it!
12/10/2019 5:57:45 PM,"Pears,Mango,Spinach",56,g,Love it!
12/10/2019 9:45:50 AM,Fruit smoothies,110,g,Like it!
12/10/2019 3:05:35 PM,Yogurt,76,g,Like it!
12/10/2019 12:00:12 PM,Oatmeal,73,g,Like it!
12/10/2019 3:15:03 PM,Nuts,2,g,Like it!
12/10/2019 3:30:20 PM,Oatmeal,73,g,Like it!
12/10/2019 12:20:40 PM,Nuts,5,g,Like it!
12/10/2019 5:45:30 PM,Fruit smoothies,23,g,Love it!
12/10/2019 12:30:04 PM,"Beef,Other",59,g,Like it!
12/10/2019 9:30:15 AM,Oatmeal,73,g,Like it!
12/09/2019 7:50:12 PM,Fruit smoothies,29,g,Love it!
12/09/2019 3:05:29 PM,Oatmeal,68,g,Like it!
12/09/2019 10:01:59 AM,Fruit smoothies,109,g,Love it!
12/09/2019 12:40:39 PM,Yogurt,76,g,Like it!
12/09/2019 12:05:11 PM,Oatmeal,68,g,Like it!
12/09/2019 3:30:58 PM,Yogurt,76,g,Like it!
12/09/2019 12:15:26 PM,Fruit smoothies,109,g,Like it!
12/09/2019 8:24:51 AM,Oatmeal,68,g,Like it!
12/09/2019 5:36:17 PM,Fruit smoothies,47,g,Love it!
12/09/2019 12:45:15 PM,Nuts,5,g,Love it!
